Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,10031775676,Oakley gym/ running performance t shirt  Men’s size XL,,18.87,107,,,,,,Yes,,https://www.vinted.co.uk/items/10031775676-oakley-gym-running-performance-t-shirt-mens-size-xl
2,9837248140,Run & Fly dinosaur patterned short sleeve cotton t-shirt,,10.0,81,81,0,0.0,2,0,No,,https://www.vinted.co.uk/items/9837248140-run-fly-dinosaur-patterned-short-sleeve-cotton-t-shirt
3,9967590292,Adidas Woman Running T-shirt M,,12.99,73,69,4,5.8,4,1,No,,https://www.vinted.co.uk/items/9967590292-adidas-woman-running-t-shirt-m
4,9965636980,Represent running t shirt black size medium mens,,30.0,46,45,1,2.2,6,2,No,,https://www.vinted.co.uk/items/9965636980-represent-running-t-shirt-black-size-medium-mens
5,10026929887,GAP Constellation Graphic T-Shirt – Size M,,5.0,35,27,8,29.6,12,7,No,,https://www.vinted.co.uk/items/10026929887-gap-constellation-graphic-t-shirt-size-m
6,10014986740,BAPE x Comme des Garçons Graphic T-Shirt – White,,30.0,34,24,10,41.7,17,11,No,,https://www.vinted.co.uk/items/10014986740-bape-x-comme-des-garcons-graphic-t-shirt-white
7,9999269914,Black ice cream running dog shirt,,6.0,33,33,0,0.0,11,4,No,,https://www.vinted.co.uk/items/9999269914-black-ice-cream-running-dog-shirt
8,10028719370,🩶 Nike Miller Running Set – Grey – Medium,,32.99,32,,,,,,Yes,,https://www.vinted.co.uk/items/10028719370-nike-miller-running-set-grey-medium
9,10029873990,F&F Khaki Cargo Joggers | W32 L30,,4.99,29,23,6,26.1,21,12,No,,https://www.vinted.co.uk/items/10029873990-ff-khaki-cargo-joggers-w32-l30
10,9907023249,Comme Des Garçons white tshirt,,22.0,28,21,7,33.3,26,16,No,,https://www.vinted.co.uk/items/9907023249-comme-des-garcons-white-tshirt
11,10012369731,Satisfy running Moth tech tee,,120.0,28,22,6,27.3,23,12,No,,https://www.vinted.co.uk/items/10012369731-satisfy-running-moth-tech-tee
12,10043143960,Nike Trail Dri-FIT Running T-Shirt – Size XL,,12.0,25,,,,,,Yes,,https://www.vinted.co.uk/items/10043143960-nike-trail-dri-fit-running-t-shirt-size-xl
13,9945075593,Adidas running  gym t-shirt mens,,7.5,25,24,1,4.2,19,6,No,,https://www.vinted.co.uk/items/9945075593-adidas-running-gym-t-shirt-mens
14,10018284613,Funny Running Wear / Activewear T-Shirt,,9.0,24,22,2,9.1,24,10,No,,https://www.vinted.co.uk/items/10018284613-funny-running-wear-activewear-t-shirt
15,9984460061,Nike Trail T-Shirt – Very Good Condition,,8.0,24,,,,,,Yes,,https://www.vinted.co.uk/items/9984460061-nike-trail-t-shirt-very-good-condition
16,9173569387,Nike Run T Shirt,,12.0,23,23,0,0.0,20,4,No,,https://www.vinted.co.uk/items/9173569387-nike-run-t-shirt
17,9454683297,The North Face Performance Sports T-Shirt – Built for Adventure!,,7.0,23,20,3,15.0,29,12,No,,https://www.vinted.co.uk/items/9454683297-the-north-face-performance-sports-t-shirt-built-for-adventure
18,9978283914,Nike Running T Shirt Medium,,5.0,23,24,-1,-4.2,18,0,No,,https://www.vinted.co.uk/items/9978283914-nike-running-t-shirt-medium
19,10002150272,Nike Running Dri FIT T Shirt Mens XL Black Graphic Tech Mesh Top,,11.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/10002150272-nike-running-dri-fit-t-shirt-mens-xl-black-graphic-tech-mesh-top
20,9975430833,Nike long sleeve dri fit top,,11.0,22,21,1,4.8,28,8,No,,https://www.vinted.co.uk/items/9975430833-nike-long-sleeve-dri-fit-top
21,9757753917,North Face sprint T Shirt,,6.5,22,,,,,,Yes,,https://www.vinted.co.uk/items/9757753917-north-face-sprint-t-shirt
22,10035337888,Nike 95s pink foam,,55.0,21,,,,,,Yes,,https://www.vinted.co.uk/items/10035337888-nike-95s-pink-foam
23,10005667830,White and Black Nike Miller shorts set,,45.0,21,18,3,16.7,37,14,No,,https://www.vinted.co.uk/items/10005667830-white-and-black-nike-miller-shorts-set
24,10025945141,Nike Running Division Khaki T-Shirt,,10.5,20,18,2,11.1,41,17,No,,https://www.vinted.co.uk/items/10025945141-nike-running-division-khaki-t-shirt
25,10036480245,Represent running black grey camo team 247 vest hyrox gym top t-shirt tank Size large,,38.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/10036480245-represent-running-black-grey-camo-team-247-vest-hyrox-gym-top-t-shirt-tank-size-large
26,9873602074,Adidas Performance Train Essentials Turquoise,,6.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/9873602074-adidas-performance-train-essentials-turquoise
27,6654125892,On T-shirt,,20.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/6654125892-on-t-shirt
28,9991050767,Take Five Mens Compression shirt,,4.5,19,12,7,58.3,66,38,No,,https://www.vinted.co.uk/items/9991050767-take-five-mens-compression-shirt
29,10033286547,Vintage Front Runner Tee,,18.87,19,,,,,,Yes,,https://www.vinted.co.uk/items/10033286547-vintage-front-runner-tee
30,10034416906,ASICS running t shirt men’s,,27.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10034416906-asics-running-t-shirt-mens
31,9796366311,Running Club Graphic T-Shirt,,7.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/9796366311-running-club-graphic-t-shirt
32,10012263427,Satisfy running tee,,95.0,19,17,2,11.8,46,14,No,,https://www.vinted.co.uk/items/10012263427-satisfy-running-tee
33,9591546025,Genuine vintage Adidas Star Wars Darth Vader T-Shirt - White - Size XL Run DMC Originals Trefoil,,37.99,19,19,0,0.0,34,1,No,,https://www.vinted.co.uk/items/9591546025-genuine-vintage-adidas-star-wars-darth-vader-t-shirt-white-size-xl-run-dmc-originals-trefoil
34,10004183483,Nike Dri-FIT Y2K Graphic T-Shirt | Retro 00s Nike | Pink & Teal | Abstract Print | Slim Fit,,17.0,18,15,3,20.0,51,17,No,,https://www.vinted.co.uk/items/10004183483-nike-dri-fit-y2k-graphic-t-shirt-retro-00s-nike-pink-teal-abstract-print-slim-fit
35,9940908657,: New Balance Navy Logo T-Shirt – Size S,,8.0,18,17,1,5.9,44,9,No,,https://www.vinted.co.uk/items/9940908657-new-balance-navy-logo-t-shirt-size-s
36,9953854379,Men's adidas Originals Adicolor Classics 3-Stripes California T-Shirt Navy (Size L),,16.0,18,15,3,20.0,52,16,No,,https://www.vinted.co.uk/items/9953854379-mens-adidas-originals-adicolor-classics-3-stripes-california-t-shirt-navy-size-l
37,10003012928,ASICS Men’s Large Red T Shirt RRP £39.99,,5.99,18,18,0,0.0,42,5,No,,https://www.vinted.co.uk/items/10003012928-asics-mens-large-red-t-shirt-rrp-ps3999
38,9619072803,Graphic T-Shirt,,4.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9619072803-graphic-t-shirt
39,10013810741,Nike Trail run T-shirt - medium,,5.0,18,16,2,12.5,50,11,No,,https://www.vinted.co.uk/items/10013810741-nike-trail-run-t-shirt-medium
40,10031618633,Nike Running Vest,,10.78,17,,,,,,Yes,,https://www.vinted.co.uk/items/10031618633-nike-running-vest
41,9959437866,Run DMC white cotton  t-shirt 2XL,,4.85,17,17,0,0.0,45,4,No,,https://www.vinted.co.uk/items/9959437866-run-dmc-white-cotton-t-shirt-2xl
42,9780094350,Nike Dri-FIT Miler Running T-Shirt,,10.0,17,14,3,21.4,56,14,No,,https://www.vinted.co.uk/items/9780094350-nike-dri-fit-miler-running-t-shirt
43,10022331151,Berghaus Storyboard T-Shirt White – Men’s Outdoor Graphic Tee,,19.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/10022331151-berghaus-storyboard-t-shirt-white-mens-outdoor-graphic-tee
44,10031055297,Soar Running Marathon Vest 2.0,,90.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/10031055297-soar-running-marathon-vest-20
45,10041079259,Asics navy matching activewear set,,55.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/10041079259-asics-navy-matching-activewear-set
46,10029336461,Front Runner Viper Dept Tee,,26.95,16,,,,,,Yes,,https://www.vinted.co.uk/items/10029336461-front-runner-viper-dept-tee
47,9981794600,Front Runner shirt XXL,,10.78,16,,,,,,Yes,,https://www.vinted.co.uk/items/9981794600-front-runner-shirt-xxl
48,10037383143,Nike mens t shirt london run uk L,,6.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/10037383143-nike-mens-t-shirt-london-run-uk-l
49,9957634835,On Cloud Performance T-Shirt – Men’s Medium,,15.0,16,13,3,23.1,63,14,No,,https://www.vinted.co.uk/items/9957634835-on-cloud-performance-t-shirt-mens-medium
50,8457213624,Unisex Marathon Running T-shirt,,2.5,16,,,,,,Yes,,https://www.vinted.co.uk/items/8457213624-unisex-marathon-running-t-shirt
51,9063407243,Nike Dri-Fit Baseball Tshirt,,4.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/9063407243-nike-dri-fit-baseball-tshirt
52,10020530857,Men’s Montirex set,,45.0,15,,,,,,Yes,,https://www.vinted.co.uk/items/10020530857-mens-montirex-set
53,10011825003,Under Armour Navy Performance Training T-Shirt Size M,,6.0,15,13,2,15.4,62,9,No,,https://www.vinted.co.uk/items/10011825003-under-armour-navy-performance-training-t-shirt-size-m
54,10015745952,Passenger Blue Sweatshirt Jumper | Half Zip Chunky Jumper | Mens Outdoor Casual,,28.0,15,12,3,25.0,70,16,No,,https://www.vinted.co.uk/items/10015745952-passenger-blue-sweatshirt-jumper-half-zip-chunky-jumper-mens-outdoor-casual
55,9762617589,Sporty & Rich running club t-shirt,,10.0,14,,,,,,Yes,,https://www.vinted.co.uk/items/9762617589-sporty-rich-running-club-t-shirt
