Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,9962899525,"Men’s Nike Therma-FIT Adv Running T-Shirt, Small, Charcoal",,24.0,150,,,,,,Yes,,https://www.vinted.co.uk/items/9962899525-mens-nike-therma-fit-adv-running-t-shirt-small-charcoal
2,9898976409,Nike Running Division Phenom Elite Dri-FIT Pants Black Mens Medium,,50.0,80,,,,,,Yes,,https://www.vinted.co.uk/items/9898976409-nike-running-division-phenom-elite-dri-fit-pants-black-mens-medium
3,9999987583,Nike Vomero Plus Orange Pulse,,68.5,76,,,,,,Yes,,https://www.vinted.co.uk/items/9999987583-nike-vomero-plus-orange-pulse
4,9968195283,Men’s Asics Trainers,,48.0,74,,,,,,Yes,,https://www.vinted.co.uk/items/9968195283-mens-asics-trainers
5,9999591617,Altra Olympus 6 trail running shoe womens,,75.0,69,,,,,,Yes,,https://www.vinted.co.uk/items/9999591617-altra-olympus-6-trail-running-shoe-womens
6,10011585536,Salomon Running Hiking Top,,20.0,59,,,,,,Yes,,https://www.vinted.co.uk/items/10011585536-salomon-running-hiking-top
7,9979341983,Vintage 1971 Timex Mercury Calendar (mechanical) - spares / repair,,15.0,58,,,,,,Yes,,https://www.vinted.co.uk/items/9979341983-vintage-1971-timex-mercury-calendar-mechanical-spares-repair
8,9482390635,ON Running Clouldtec Trainers Size 11,,17.5,57,,,,,,Yes,,https://www.vinted.co.uk/items/9482390635-on-running-clouldtec-trainers-size-11
9,9584035632,The North Face,,35.0,56,,,,,,Yes,,https://www.vinted.co.uk/items/9584035632-the-north-face
10,9942447211,ASICS Trabuco Max 5 Trail Running Shoe,,80.0,54,,,,,,Yes,,https://www.vinted.co.uk/items/9942447211-asics-trabuco-max-5-trail-running-shoe
11,9974175097,On cloud cloudtilt artic ice,,65.0,50,,,,,,Yes,,https://www.vinted.co.uk/items/9974175097-on-cloud-cloudtilt-artic-ice
12,10003879512,ASICS gel-1130 white / shark skin – uk 8.5,,50.0,49,,,,,,Yes,,https://www.vinted.co.uk/items/10003879512-asics-gel-1130-white-shark-skin-uk-85
13,10021121317,Running hat,,9.12,46,,,,,,Yes,,https://www.vinted.co.uk/items/10021121317-running-hat
14,10014927205,Hoka Clifton 10 black men’s running trainers | UK 10,,35.0,44,,,,,,Yes,,https://www.vinted.co.uk/items/10014927205-hoka-clifton-10-black-mens-running-trainers-uk-10
15,10025118912,Salomon White Cap,,18.99,43,,,,,,Yes,,https://www.vinted.co.uk/items/10025118912-salomon-white-cap
16,9710630170,"Hoka Bondi 8 (UK size 9.5,US size 10)",,40.0,42,,,,,,Yes,,https://www.vinted.co.uk/items/9710630170-hoka-bondi-8-uk-size-95us-size-10
17,9975337505,Nike UV women’s running jacket. Size M.,,30.0,42,,,,,,Yes,,https://www.vinted.co.uk/items/9975337505-nike-uv-womens-running-jacket-size-m
18,9922323706,On Running Core Jacket Black - Medium,,80.0,42,,,,,,Yes,,https://www.vinted.co.uk/items/9922323706-on-running-core-jacket-black-medium
19,9682736228,Nike Running Dri-FIT Set Hot Pink T-Shirt & Shorts,,25.0,39,,,,,,Yes,,https://www.vinted.co.uk/items/9682736228-nike-running-dri-fit-set-hot-pink-t-shirt-shorts
20,9857110181,Nike 5” Running Shorts,,24.99,39,,,,,,Yes,,https://www.vinted.co.uk/items/9857110181-nike-5-running-shorts
21,10012897151,Asics Running Shorts Mens Small Grey Yellow,,15.0,35,,,,,,Yes,,https://www.vinted.co.uk/items/10012897151-asics-running-shorts-mens-small-grey-yellow
22,10015910268,Hoka Bondi 8 Men’s Running Shoes/Trainers Blue/Yellow colourway Size Men’s 7 UK Authentic,,39.99,33,,,,,,Yes,,https://www.vinted.co.uk/items/10015910268-hoka-bondi-8-mens-running-shoestrainers-blueyellow-colourway-size-mens-7-uk-authentic
23,9807216887,Nike juniper trail 2 women’s running shoes size uk 5,,38.0,33,,,,,,Yes,,https://www.vinted.co.uk/items/9807216887-nike-juniper-trail-2-womens-running-shoes-size-uk-5
24,9989830282,Nike Running Trainers,,9.0,32,,,,,,Yes,,https://www.vinted.co.uk/items/9989830282-nike-running-trainers
25,10025878049,Nike Miler Activewear Set Men’s Size S Light Blue Regular Fit Excellent Condition Activewear Set,,20.0,31,,,,,,Yes,,https://www.vinted.co.uk/items/10025878049-nike-miler-activewear-set-mens-size-s-light-blue-regular-fit-excellent-condition-activewear-set
26,10002010986,🔥Brand New Saucony Progrid Omni 9 Black and Blue Size 9 🖤💙,,60.0,30,,,,,,Yes,,https://www.vinted.co.uk/items/10002010986-brand-new-saucony-progrid-omni-9-black-and-blue-size-9
27,9448554690,Nike AlphaFly 1,,65.0,30,,,,,,Yes,,https://www.vinted.co.uk/items/9448554690-nike-alphafly-1
