Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,9962899525,"Men’s Nike Therma-FIT Adv Running T-Shirt, Small, Charcoal",,24.0,141,,,,,,Yes,,https://www.vinted.co.uk/items/9962899525-mens-nike-therma-fit-adv-running-t-shirt-small-charcoal
2,9967590292,Adidas Woman Running T-shirt M,,12.99,69,,,,,,Yes,,https://www.vinted.co.uk/items/9967590292-adidas-woman-running-t-shirt-m
3,9969524402,New Balance Singlet Mens,,8.02,51,,,,,,Yes,,https://www.vinted.co.uk/items/9969524402-new-balance-singlet-mens
4,10011585536,Salomon Running Hiking Top,,20.0,29,,,,,,Yes,,https://www.vinted.co.uk/items/10011585536-salomon-running-hiking-top
5,10010263655,Adidas Running T-Shirt – Light Blue – Men’s M,,4.0,24,,,,,,Yes,,https://www.vinted.co.uk/items/10010263655-adidas-running-t-shirt-light-blue-mens-m
6,9978283914,Nike Running T Shirt Medium,,5.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/9978283914-nike-running-t-shirt-medium
7,9926156141,Mens nike running dri-fit t-shirt 🟥,,5.0,21,,,,,,Yes,,https://www.vinted.co.uk/items/9926156141-mens-nike-running-dri-fit-t-shirt
8,9945075593,Adidas running  gym t-shirt mens,,7.5,21,,,,,,Yes,,https://www.vinted.co.uk/items/9945075593-adidas-running-gym-t-shirt-mens
9,9971014059,Orange Nike,,4.28,19,,,,,,Yes,,https://www.vinted.co.uk/items/9971014059-orange-nike
10,9978567880,Nike Running Dri-FIT T-Shirt Men's Grey Pinstripe Geometric Print Sports Top,,18.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/9978567880-nike-running-dri-fit-t-shirt-mens-grey-pinstripe-geometric-print-sports-top
11,9980285209,on running graphic logo t shirt,,12.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/9980285209-on-running-graphic-logo-t-shirt
12,9703502400,"Nike Running Division T-shirt with Backprint, XL.",,10.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9703502400-nike-running-division-t-shirt-with-backprint-xl
13,9975785743,Under Armour T-Shirt – Black – Men’s Medium,,17.99,17,,,,,,Yes,,https://www.vinted.co.uk/items/9975785743-under-armour-t-shirt-black-mens-medium
14,9972649156,On cloud training t shirt size small men’s,,18.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/9972649156-on-cloud-training-t-shirt-size-small-mens
15,9969766473,White Graphic T-Shirt – Blue & Black Tribal Print,,10.7,16,,,,,,Yes,,https://www.vinted.co.uk/items/9969766473-white-graphic-t-shirt-blue-black-tribal-print
16,9959437866,Run DMC white cotton  t-shirt 2XL,,4.81,16,,,,,,Yes,,https://www.vinted.co.uk/items/9959437866-run-dmc-white-cotton-t-shirt-2xl
17,9965935169,Men’s Large Asics Shorts & T-Shirt Set - BNWT,,50.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/9965935169-mens-large-asics-shorts-t-shirt-set-bnwt
18,9846927708,Puma drycell running sport T-shirt small,,3.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/9846927708-puma-drycell-running-sport-t-shirt-small
19,9985761975,Saysky Clean Motion T-Shirt - White - Size L - Excellent Condition - RRP £46,,29.99,15,,,,,,Yes,,https://www.vinted.co.uk/items/9985761975-saysky-clean-motion-t-shirt-white-size-l-excellent-condition-rrp-ps46
20,9958932312,Cunnies front runner S,,32.1,14,,,,,,Yes,,https://www.vinted.co.uk/items/9958932312-cunnies-front-runner-s
21,10001897829,"Nike Running Dri-FIT T-Shirt, Black, Men's L",,5.0,14,,,,,,Yes,,https://www.vinted.co.uk/items/10001897829-nike-running-dri-fit-t-shirt-black-mens-l
22,10000265026,Men’s on running train T-shirt,,25.0,13,,,,,,Yes,,https://www.vinted.co.uk/items/10000265026-mens-on-running-train-t-shirt
23,9940908657,: New Balance Navy Logo T-Shirt – Size S,,10.0,13,,,,,,Yes,,https://www.vinted.co.uk/items/9940908657-new-balance-navy-logo-t-shirt-size-s
24,9981794600,Front Runner shirt XXL,,10.7,12,,,,,,Yes,,https://www.vinted.co.uk/items/9981794600-front-runner-shirt-xxl
25,10013516718,Sports wear t shirt,,20.0,12,,,,,,Yes,,https://www.vinted.co.uk/items/10013516718-sports-wear-t-shirt
26,10003178557,On Running Performance-T,,20.0,12,,,,,,Yes,,https://www.vinted.co.uk/items/10003178557-on-running-performance-t
27,9900862786,Nike Running Dri-FIT Men’s T-Shirt – Black – Size L,,10.0,11,,,,,,Yes,,https://www.vinted.co.uk/items/9900862786-nike-running-dri-fit-mens-t-shirt-black-size-l
28,10003645401,montirex mens apex aop tee light blue graphic gym running t shirt size large L,,10.0,10,,,,,,Yes,,https://www.vinted.co.uk/items/10003645401-montirex-mens-apex-aop-tee-light-blue-graphic-gym-running-t-shirt-size-large-l
29,9945204548,Black Nike running shirt,,4.5,10,,,,,,Yes,,https://www.vinted.co.uk/items/9945204548-black-nike-running-shirt
30,10013361844,Running t-shirt,,5.0,10,,,,,,Yes,,https://www.vinted.co.uk/items/10013361844-running-t-shirt
31,9997849273,Navy blue Polo Sport Ralph Lauren Performance long sleeve shirt small #running #gym,,21.4,9,,,,,,Yes,,https://www.vinted.co.uk/items/9997849273-navy-blue-polo-sport-ralph-lauren-performance-long-sleeve-shirt-small-running-gym
32,9986179275,Mizuno running t shirt,,5.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/9986179275-mizuno-running-t-shirt
33,10012264025,Black SYXTH. Graphic T-Shirt,,9.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/10012264025-black-syxth-graphic-t-shirt
34,10004183483,Nike Dri-FIT Y2K Graphic T-Shirt | Retro 00s Nike | Pink & Teal | Abstract Print | Slim Fit,,17.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/10004183483-nike-dri-fit-y2k-graphic-t-shirt-retro-00s-nike-pink-teal-abstract-print-slim-fit
35,9890071373,Nike Dri Fit Strike T-Shirt,,12.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/9890071373-nike-dri-fit-strike-t-shirt
36,10001167801,3x quick dry t-shirts,,4.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/10001167801-3x-quick-dry-t-shirts
37,9965965706,Nike rise 365 coral run division men’s tshirt size small,,12.0,8,,,,,,Yes,,https://www.vinted.co.uk/items/9965965706-nike-rise-365-coral-run-division-mens-tshirt-size-small
38,9856495458,Mens On Running Train T Shirt Green,,25.0,8,,,,,,Yes,,https://www.vinted.co.uk/items/9856495458-mens-on-running-train-t-shirt-green
39,9959633960,Front runner,,34.77,7,,,,,,Yes,,https://www.vinted.co.uk/items/9959633960-front-runner
40,9624941968,Diesel Men’s Black T-Shirt,,4.0,7,,,,,,Yes,,https://www.vinted.co.uk/items/9624941968-diesel-mens-black-t-shirt
41,9918440556,Nike Dri-FIT running t-shirt men’s S,,2.5,6,,,,,,Yes,,https://www.vinted.co.uk/items/9918440556-nike-dri-fit-running-t-shirt-mens-s
42,10015431439,Nike running T-shirt,,3.0,6,,,,,,Yes,,https://www.vinted.co.uk/items/10015431439-nike-running-t-shirt
43,9961203609,Men’s Nike running Dri fit t shirt size medium,,2.5,6,,,,,,Yes,,https://www.vinted.co.uk/items/9961203609-mens-nike-running-dri-fit-t-shirt-size-medium
44,9797539173,Nike Dri-Fit ADV Running T-Shirt Short Sleeve Athletic Top | Light Blue | Men’s Large,,16.5,6,,,,,,Yes,,https://www.vinted.co.uk/items/9797539173-nike-dri-fit-adv-running-t-shirt-short-sleeve-athletic-top-light-blue-mens-large
45,9985611042,Under Armour Men’s Fitted Training T-Shirt – Black/Grey – Small,,3.0,6,,,,,,Yes,,https://www.vinted.co.uk/items/9985611042-under-armour-mens-fitted-training-t-shirt-blackgrey-small
46,10009740960,Mizuno Running T-shirts,,8.0,6,,,,,,Yes,,https://www.vinted.co.uk/items/10009740960-mizuno-running-t-shirts
47,9885433595,Nike running T-shirt,,3.0,6,,,,,,Yes,,https://www.vinted.co.uk/items/9885433595-nike-running-t-shirt
48,10008980119,Brooks white running t-shirt,,4.0,5,,,,,,Yes,,https://www.vinted.co.uk/items/10008980119-brooks-white-running-t-shirt
49,9784136680,Black & Grey Men’s Sports/Gym T-Shirt,,4.0,5,,,,,,Yes,,https://www.vinted.co.uk/items/9784136680-black-grey-mens-sportsgym-t-shirt
50,9939228317,Nike men’s running t-shirt large,,12.0,5,,,,,,Yes,,https://www.vinted.co.uk/items/9939228317-nike-mens-running-t-shirt-large
51,10010378241,Nike running T-shirt,,4.0,5,,,,,,Yes,,https://www.vinted.co.uk/items/10010378241-nike-running-t-shirt
52,10012582824,Pack of 3 Brand new Athletic T-shirts Large,,5.0,5,,,,,,Yes,,https://www.vinted.co.uk/items/10012582824-pack-of-3-brand-new-athletic-t-shirts-large
53,9957121306,Nike Men’s Dri-Fit T-shirt Size XL Running Top Grey,,15.0,5,,,,,,Yes,,https://www.vinted.co.uk/items/9957121306-nike-mens-dri-fit-t-shirt-size-xl-running-top-grey
54,9982050476,Gymshark Navy Blue T-Shirt – XL,,8.0,5,,,,,,Yes,,https://www.vinted.co.uk/items/9982050476-gymshark-navy-blue-t-shirt-xl
55,9970776489,Under Armour Tech T-Shirt Black Grey Marl M,,12.0,5,,,,,,Yes,,https://www.vinted.co.uk/items/9970776489-under-armour-tech-t-shirt-black-grey-marl-m
56,10012543239,Pack of 3 Athletic T-shirts size:M,,5.0,5,,,,,,Yes,,https://www.vinted.co.uk/items/10012543239-pack-of-3-athletic-t-shirts-sizem
57,9993674189,Nike Dri Fit T Shirt & Shorts Set-Grey,,39.99,4,,,,,,Yes,,https://www.vinted.co.uk/items/9993674189-nike-dri-fit-t-shirt-shorts-set-grey
58,9991050767,Take Five Mens Compression shirt,,4.5,4,,,,,,Yes,,https://www.vinted.co.uk/items/9991050767-take-five-mens-compression-shirt
59,9969673152,Puma Evo T Shirt Mens XL Brand new,,7.49,4,,,,,,Yes,,https://www.vinted.co.uk/items/9969673152-puma-evo-t-shirt-mens-xl-brand-new
60,10016161439,Men’s Nike running t shirt,,6.0,4,,,,,,Yes,,https://www.vinted.co.uk/items/10016161439-mens-nike-running-t-shirt
61,8875140540,Asos Design Long Sleeved Running Club Tee,,3.0,4,,,,,,Yes,,https://www.vinted.co.uk/items/8875140540-asos-design-long-sleeved-running-club-tee
62,10014485375,Under armour running T-shirt,,4.0,4,,,,,,Yes,,https://www.vinted.co.uk/items/10014485375-under-armour-running-t-shirt
63,10009380337,Nike Running T-shirt,,2.99,4,,,,,,Yes,,https://www.vinted.co.uk/items/10009380337-nike-running-t-shirt
64,9934426949,Running T-shirt,,3.0,3,,,,,,Yes,,https://www.vinted.co.uk/items/9934426949-running-t-shirt
65,9996017432,Liverpool FC Official Grey Training / Performance T-Shirt – Size S,,16.05,3,,,,,,Yes,,https://www.vinted.co.uk/items/9996017432-liverpool-fc-official-grey-training-performance-t-shirt-size-s
66,8235613359,Men’s Boston running club green  T-shirt,,2.0,3,,,,,,Yes,,https://www.vinted.co.uk/items/8235613359-mens-boston-running-club-green-t-shirt
67,10001782328,montirex mens trail 2.0 tee multicolour space dye running gym t shirt size large L,,10.0,3,,,,,,Yes,,https://www.vinted.co.uk/items/10001782328-montirex-mens-trail-20-tee-multicolour-space-dye-running-gym-t-shirt-size-large-l
68,10015150422,Karrimor trail running short sleeve t-shirt size medium mens (b3),,4.0,3,,,,,,Yes,,https://www.vinted.co.uk/items/10015150422-karrimor-trail-running-short-sleeve-t-shirt-size-medium-mens-b3
69,9965497405,The Couture Club T-Shirt – XL,,15.0,3,,,,,,Yes,,https://www.vinted.co.uk/items/9965497405-the-couture-club-t-shirt-xl
70,8004574893,Grey and White Men’s Nike Striped Dri-Fit Running T-shirt,,4.0,3,,,,,,Yes,,https://www.vinted.co.uk/items/8004574893-grey-and-white-mens-nike-striped-dri-fit-running-t-shirt
71,9623600657,Nike dri fit T-Shirt #football #running #sports,,8.0,2,,,,,,Yes,,https://www.vinted.co.uk/items/9623600657-nike-dri-fit-t-shirt-football-running-sports
72,10011379327,On Running T-shirt Grey Medium,,30.0,2,,,,,,Yes,,https://www.vinted.co.uk/items/10011379327-on-running-t-shirt-grey-medium
